idx_original,Class,prediccion_fraude,probabilidad_fraude,Amount,utilidad_aprobar,utilidad_revisar,utilidad_bloquear,accion_recomendada
0,0,0,0.0001156011428179,100.0,1.988208683432574,-8.00115601142818,-11.988208683432573,aprobar
1,0,0,0.1891475958731729,100.0,-17.293054779063635,-9.891475958731728,7.293054779063635,bloquear
2,0,1,0.9993006119231352,100.0,-99.9286624161598,-17.993006119231353,89.9286624161598,bloquear
3,0,1,0.6459373349604712,100.0,-63.885608165968065,-14.45937334960471,53.885608165968065,bloquear
4,0,0,0.0002831850551362,100.0,1.9711151243761076,-8.002831850551361,-11.971115124376107,aprobar
5,0,0,0.1824570390457454,100.0,-16.61061798266603,-9.824570390457454,6.610617982666028,bloquear
6,0,0,0.03625250080067,100.0,-1.6977550816683404,-8.3625250080067,-8.30224491833166,aprobar
7,0,1,0.652137081901695,100.0,-64.51798235397288,-14.52137081901695,54.51798235397288,bloquear
8,0,0,0.0435782974060178,100.0,-2.444986335413815,-8.435782974060178,-7.555013664586184,aprobar
9,0,0,0.0508853845757075,100.0,-3.1903092267221647,-8.508853845757075,-6.809690773277835,aprobar
10,0,0,0.0135393415198436,100.0,0.6189871649759529,-8.135393415198436,-10.618987164975954,aprobar
11,0,0,0.1503423313847428,100.0,-13.334917801243765,-9.503423313847428,3.3349178012437637,bloquear
12,0,0,0.0013540713705359,100.0,1.8618847202053381,-8.013540713705359,-11.861884720205337,aprobar
13,0,1,0.8813128644582008,100.0,-87.89391217473649,-16.813128644582008,77.89391217473649,bloquear
14,0,0,0.0001853761440303,100.0,1.9810916333089095,-8.001853761440303,-11.98109163330891,aprobar
15,0,0,0.4086431351936999,100.0,-39.681599789757385,-12.086431351936998,29.681599789757392,bloquear
16,0,0,0.0458266484262038,100.0,-2.6743181394727875,-8.458266484262039,-7.3256818605272125,aprobar
17,0,0,0.0148483570911048,100.0,0.48546757670731044,-8.148483570911049,-10.485467576707311,aprobar
18,0,0,0.0753087696804453,100.0,-5.68149450740542,-8.753087696804453,-4.318505492594579,bloquear
19,0,0,0.1189402161413585,100.0,-10.131902046418567,-9.189402161413584,0.13190204641856695,bloquear
20,0,0,0.0418656720429711,100.0,-2.2702985483830522,-8.418656720429711,-7.729701451616949,aprobar
21,0,0,0.0781850292820693,100.0,-5.974872986771069,-8.781850292820693,-4.025127013228931,bloquear
22,0,0,0.0468969286435143,100.0,-2.783486721638459,-8.468969286435142,-7.216513278361541,aprobar
23,0,0,0.1339291305374887,100.0,-11.660771314823847,-9.339291305374887,1.6607713148238474,bloquear
24,0,0,0.0496119495871252,100.0,-3.0604188578867704,-8.496119495871252,-6.939581142113228,aprobar
25,0,0,0.0015630301539784,100.0,1.8405709242942032,-8.015630301539783,-11.840570924294203,aprobar
26,0,0,0.0290298466871463,100.0,-0.9610443620889224,-8.290298466871464,-9.038955637911076,aprobar
27,0,1,0.7263878144813436,100.0,-72.09155707709704,-15.263878144813436,62.09155707709704,bloquear
28,0,1,0.5367158411485636,100.0,-52.74501579715349,-13.367158411485637,42.745015797153485,bloquear
29,0,0,0.0001928745535734,100.0,1.9803267955355133,-8.001928745535734,-11.980326795535513,aprobar
30,0,0,0.02999790893208,100.0,-1.05978671107216,-8.2999790893208,-8.94021328892784,aprobar
31,0,0,0.3061421855017303,100.0,-29.22650292117649,-11.061421855017302,19.22650292117649,bloquear
32,0,1,0.5612627641929836,100.0,-55.24880194768432,-13.612627641929837,45.24880194768433,bloquear
33,0,0,0.0030297909407258,100.0,1.6909613240459684,-8.030297909407258,-11.69096132404597,aprobar
34,0,0,0.1164027315582894,100.0,-9.873078618945518,-9.164027315582894,-0.12692138105448159,bloquear
35,0,0,0.0002964695034181,100.0,1.9697601106513538,-8.002964695034182,-11.969760110651354,aprobar
36,0,0,0.048802166172604,100.0,-2.977820949605608,-8.48802166172604,-7.022179050394391,aprobar
37,0,1,0.6685488494333958,100.0,-66.19198264220636,-14.685488494333958,56.19198264220637,bloquear
38,0,0,0.0009730203281859,100.0,1.900751926525038,-8.009730203281858,-11.900751926525038,aprobar
39,0,0,0.0819756255668258,100.0,-6.361513807816232,-8.819756255668258,-3.638486192183768,bloquear
40,0,0,0.0502664884288555,100.0,-3.1271818197432606,-8.502664884288555,-6.872818180256738,aprobar
41,0,1,0.6724817447008473,100.0,-66.59313795948643,-14.724817447008473,56.59313795948643,bloquear
42,0,0,0.1301426029273448,100.0,-11.27454549858917,-9.301426029273447,1.2745454985891715,bloquear
43,0,0,0.0293376903805894,100.0,-0.9924444188201187,-8.293376903805894,-9.007555581179881,aprobar
44,0,0,0.0160684577846864,100.0,0.3610173059619872,-8.160684577846865,-10.361017305961987,aprobar
45,0,0,0.0381450731404387,100.0,-1.8907974603247473,-8.381450731404387,-8.109202539675254,aprobar
46,0,0,0.1178386192602925,100.0,-10.019539164549835,-9.178386192602925,0.019539164549833288,bloquear
47,0,0,0.490599638479005,100.0,-48.04116312485851,-12.90599638479005,38.04116312485851,bloquear
48,0,0,0.1252088941287635,100.0,-10.771307201133876,-9.252088941287635,0.7713072011338742,bloquear
